rel	pos	n
CreatedBy	0.6307692307692307	65
MotivatedByGoal	0.43448275862068964	145
IsA	0.4283353010625738	4235
PartOf	0.3596358118361153	659
Entails	0.34	50
HasA	0.3351063829787234	1128
FormOf	0.32941176470588235	85
UsedFor	0.2936995153473344	3095
HasSubevent	0.2682926829268293	123
HasPrerequisite	0.2653061224489796	441
CapableOf	0.2630407124681934	3144
RelatedTo	0.2552297212425721	41398
CausesDesire	0.236	250
Causes	0.19741100323624594	309
HasProperty	0.19656078337711966	4187
MannerOf	0.1844106463878327	526
SemanticallyRelated	0.18095238095238095	210
DistinctFrom	0.17094017094017094	117
AtLocation	0.16572352465642684	4948
Desires	0.15037593984962405	266
HasContext	0.11864406779661017	59
SimilarTo	0.11382113821138211	123
Synonym	0.08784473953013279	979
ReceivesAction	0.0655226209048362	641
